ID,직종,세부직종,직무태그,근무경력,근무형태,근무지역,출신대학,대학전공,어학시험,자격증,대학성적
SID101622,재료·화학·섬유·의복,에너지·환경,"환경,수질,수처리,하수처리,CAD,",0개월,,"서울,경기,",상지대학교,환경공학과,,有,70.0
SID101651,경영·기획·회계·사무,경리·회계,,0개월,정규직,"서울,서울,서울",성균관대학교,영어영문,,無,70.0
SID101657,IT·게임,"응용프로그래머(Unix,Linux,Java)",프로그래머,0개월,,"서울,경기,",한성대학교,국어/전산,,無,80.0
SID101660,전문·교육·자격,호텔·숙박·여행,"영어  , MS-Word , TESL",2년 5개월,,"서울,경기,",연세대학교,사학,TOEIC,有,80.0
SID101697,영업·판매·TM,영업·영업기획,영업,0개월,,"서울,경기,전북",호원대학교,컴퓨터공학,,無,
SID101735,IT·게임,서버·네트워크·보안,"서버,네트워크,DB관리,JAVA,JSP,ASP",0개월,,"서울,경기,전북",전주대학교,기계공학,,有,70.0
SID101741,IT·게임,시스템분석·설계·컨설턴트·ERP,"SAP,ABAP,전산프로그래머",0개월,,"기타,,",한림대학교,컴퓨터공학과,,有,
SID101902,영업·판매·TM,영업관리·영업지원,"영업기획,기술영업,유통영업,LCD영업,마케팅,마케팅기획,사업기획,패션마케팅",3년 5개월,정규직,"서울,경기,경남",중앙대학교,경제학,TOEIC,無,70.0
SID101941,영업·판매·TM,영업·영업기획,관리직,0개월,,"전북,전북,대전",전주대학교,경영정보,,無,40.0
SID101942,영업·판매·TM,영업관리·영업지원,영업관리,0개월,,"서울,경기,",성신여자대학교,불어불문학과,,有,70.0
SID101962,IT·게임,서버·네트워크·보안,"MCSE,MCDBA,기획,마케팅,SE,시스템분석,OCP",0개월,,"서울,광주,",목포대학교,물리학과, ,有,60.0
SID101966,건설·기계·전기·전자,전기·전자·제어,개발,0개월,,"충남,경기,서울",한밭대학교,전자공학과,TOEIC,有,
SID102008,경영·기획·회계·사무,경영·기획·전략,"CONSULTANT,MERCHANDISER,머천다이저,바이어,백화점MD,할인점MD,MD",12년 10개월,정규직,"서울,,",이화여자대학교,신문방송학과,TOEIC,無,70.0
SID102053,경영·기획·회계·사무,무역·수출입·운송사무,일본어,0개월,,"서울,강원,",동덕여자대학교,일본어,JLPT,有,80.0
SID102057,경영·기획·회계·사무,무역·수출입·운송사무,"무역 , 해외영업 , ",0개월,,"서울,인천,경기",인천대학교,무역학과,,有,70.0
SID102346,영업·판매·TM,영업관리·영업지원,"편집디자인,photoshop,cad,웹마스터",0개월,,"부산,서울,인도",동아대학교,정치외교,,有,70.0
SID102388,IT·게임,"응용프로그래머(Unix,Linux,Java)","Visual C++,C++,Delphi,ASP,JAVA,XML,서버프로그래밍,네트웍프로그래밍",0개월,,"서울,부산,",동아대학교,컴퓨터공학과,,無,70.0
SID102463,영업·판매·TM,영업·영업기획,"구조설계, CAD, photoshop, MIDAS, 영어, 영업관리",0개월,,"서울,부산,경기",동아대학교,건축 공학과,TOEIC,有,80.0
SID102471,IT·게임,웹프로그래머,"Unix,Windows2000,리눅스,JAVA,자바,웹프로그래머,일본&#54387E20,SCJP,JSP,ASP,Servlet,웹마스터,EJB,mhtml,jsp,Java,SQL,xml,MySQL,AJAX",8년 2개월,"정규직, 해외취업","서울,경기,일본",수원대학교,응용통계학, ,有,80.0
SID102483,경영·기획·회계·사무,경리·회계,"급여관리,경리,관리,일반사무,",0개월,,"서울,서울,서울",한성대학교,경영/부전공:무역,,無,70.0
SID102524,경영·기획·회계·사무,경영·기획·전략,"기획 , 예산 , 원가 , 사업계획 , 손익 , 비용관리 , 경영분석 , 인사 , 총무",0개월,,"서울,대전,경기",선문대학교,경영학부,,無,70.0
SID102640,전문·교육·자격,외국어·번역·통역,"영어 , 외신 , 번역 , 통역 , 기자 , 편집 , 경제 , 금융 , CPA , 회계 , 자금",0개월,,"서울,미국,해외",연세대학교,경영학,TOEIC,有,80.0
SID102915,경영·기획·회계·사무,비서·인포메이션·수행·안내,비서및 인사업무,0개월,,"서울,경기,해외",동덕여자대학교,영어영문,,無,80.0
SID102919,건설·기계·전기·전자,전기·전자·제어,"영어 , 전자 , 반도체 , 기술영업 , 단말기 , 전자부품",0개월,,"서울,경기,충남",수원대학교,전기전자공,TOEIC,無,70.0
SID102937,경영·기획·회계·사무,인사·노무·교육·인재개발,인사업무,0개월,,"서울,서울,서울",상지대학교,행정학,,無,70.0
SID102979,경영·기획·회계·사무,광고·홍보,"홍보,광고,pr",0개월,,"서울,경기,",서울여자대학교,사학,,無,80.0
SID102982,경영·기획·회계·사무,광고·홍보,"홍보,광고,pr",0개월,,"서울,경기,",서울여자대학교,사학,,無,80.0
SID102983,IT·게임,웹프로그래머,프로그래머,1년 11개월,,"서울,미국,캐나다",수원대학교,정보통신공,,有,70.0
SID103096,IT·게임,서버·네트워크·보안,"NETWORK , LINUX , SERVER , ROUTER , SWITCH , HUB  , 광전송장비",0개월,,"서울,서울,경기",세종대학교,전산과학,,有,70.0
SID103278,IT·게임,"응용프로그래머(Unix,Linux,Java)","델파이, 자바",0개월,,"광주,전남,서울",목포대학교,컴퓨터공학과,,無,
SID103292,IT·게임,웹디자인,"웹디자인 , 포토샵 , 일러스트 , 플래쉬 , html코딩",0개월,,"서울,,",성신여자대학교,수학과,,無,90.0
SID10332,건설·기계·전기·전자,건설·토목·건축설비,"안전,산업안전,안전관리",9년 3개월,정규직,"인천,서울,경기",인천대학교,산업안전공학,,有,80.0
SID103341,영업·판매·TM,텔레마케팅(인/아웃바운드TM),"일반사무,총무",0개월,,"서울,서울,서울",군산대학교,의류학과,,無,80.0
SID103345,건설·기계·전기·전자,기계·기계설계·기계설비,시원하게따사롭게,0개월,,"서울,경기,",동의대학교,기계공학,,無,80.0
SID103347,경영·기획·회계·사무,비서·인포메이션·수행·안내,비서,0개월,,"서울,,",상지대학교,법학과(중퇴), ,無,
SID103420,경영·기획·회계·사무,광고·홍보,"광고 , 홍보 , PR , 사무 , 기획",0개월,,"서울,경기,",이화여자대학교,국어국문학, ,有,50.0
SID103481,경영·기획·회계·사무,물류·유통관리,"물류,물류기획,병원,의료,시스템운영,SM,방화벽,서버관리,MCSE,IIS,LAN,Windows2000,SQL,CCNA,정보보안,네트워크관리,전산기획,전산직",1년 10개월,"정규직, 파견직","서울,경기,인천",성공회대학교,컴퓨터정보공학, ,有,70.0
SID103484,영업·판매·TM,해외영업,"영어, 일본어",0개월,,"서울,캐나다,기타",동아대학교,전자공학과,,無,60.0
SID103553,경영·기획·회계·사무,경영·기획·전략,"프렌차이즈사업,경영,경영관리,조직관리,CEO,브랜드매니저,영업관리,거래처관리,영업기획,백화점영업,법인영업",19년 3개월,정규직,"부산,서울,말레이시아",동아대학교,경영학,,無,70.0
SID103571,건설·기계·전기·전자,전기·전자·제어,"H,W,전자,ASIC",0개월,,"서울,경기,",성균관대학교,재료/전자공학과,,無,70.0
SID103748,경영·기획·회계·사무,사무·총무·법무,"총무,인사,관리,사무관리,영업관리",0개월,,"서울,서울,서울",성결대학교,지역사회개발,,有,80.0
SID103822,IT·게임,시스템분석·설계·컨설턴트·ERP,,0개월,,"서울,인천,해외",인천대학교,전자공학,TOEIC,有,70.0
SID103848,경영·기획·회계·사무,사무·총무·법무,"행정사무,영어,상담,",0개월,,"광주,서울,",호남대학교,영어영문학,TOEIC,有,70.0
SID103883,건설·기계·전기·전자,기계·기계설계·기계설비,"공조냉동,시설관리,CAD",0개월,,"대전,경기,",한밭대학교,기계공학과,,有,80.0
SID103999,경영·기획·회계·사무,사무·총무·법무,"사무,경리,총무,인사",0개월,,"대전,대전,대전",한밭대학교,전자공학,,有,70.0
SID104006,재료·화학·섬유·의복,섬유·의복,남성복디자인,9년 7개월,정규직,"서울,서울,",성균관대학교,섬유공학과,,無,
SID10402,경영·기획·회계·사무,마케팅·마케팅기획,"마케팅,기획,영어,엔터테인먼트",0개월,,"서울,,",서울여자대학교,경영학,TOEIC,無,70.0
SID104035,전문·교육·자격,교육·교사·교수·강사,영어강사,0개월,,"인천,인천,서울",세명대학교,영어영문,,無,70.0
SID10410,IT·게임,웹디자인,"웹디자인,인터페이스디자인",0개월,,"서울,미국,캐나다",이화여자대학교,국어국문학,,無,70.0
SID104138,IT·게임,웹디자인,"웹디자인 , UI디자인 ,인터페이스디자인",0개월,,"서울,서울,서울",신라대학교,컴퓨터과학,JLPT,有,70.0
SID104172,경영·기획·회계·사무,무역·수출입·운송사무,"상품기획,무역,해외영업,마케팅",0개월,,"서울,,서울",성균관대학교,식품생명자원학,TOEIC,有,70.0
SID104195,재료·화학·섬유·의복,섬유·의복,"Merchandiser 경력 3년차,영어,Marketing,외국계 회사",0개월,,"서울,서울,서울",이화여자대학교,섬유예술학과,TOEIC,有,70.0
SID10425,IT·게임,웹디자인,"웹디자인,인터페이스디자인",0개월,,"서울,미국,캐나다",이화여자대학교,국어국문학,,無,70.0
SID104272,IT·게임,웹프로그래머,"웹마스터,웹프로그래머,서버관리, 디비,메일 서버관리",0개월,,"서울,서울,서울",한성대학교,산업공학과,,無,70.0
SID104412,디자인,의류·패션·잡화디자인,"상품기획 , 니트디자인 ,",0개월,,"서울,서울,경기",성균관대학교,의상학,,有,70.0
SID104469,경영·기획·회계·사무,구매·자재사무,"구매,자재,관리",8년 9개월,"정규직, 계약직, ","서울,,",수원대학교,전자재료공학과,,有,60.0
SID10448,문화·예술·신문·방송,영상·음향·사진·카메라,"편집,연출,기획,출판",0개월,,"서울,경기,",연세대학교,수학과,,無,60.0
SID10455,문화·예술·신문·방송,영상·음향·사진·카메라,편집,0개월,,"서울,경기,",수원대학교,생명과학,,有,60.0
SID104562,IT·게임,웹프로그래머,"웹프로그래머,JAVA,JSP,XML,EJB,PHP,MSSQL,MYSQL,LINUX,SI,CRM",0개월,,"서울,서울,서울",동덕여자대학교,전자계산학,,有,70.0
SID104566,경영·기획·회계·사무,경리·회계,세무,0개월,,"서울,경기,인천",경기대학교,경영,,無,70.0
SID104599,경영·기획·회계·사무,광고·홍보,"홍보,언론홍보,PR",0개월,,"서울,,",이화여자대학교,신문방송,,無,60.0
SID10465,전문·교육·자격,교육·교사·교수·강사,"상담,비서,교육,영어",0개월,,"경기,서울,",성신여자대학교,영어영문,,無,
SID104700,전문·교육·자격,교육·교사·교수·강사,영어유치원 교사,0개월,,"경기,,",서울여자대학교,영어영문학,TOEIC,無,90.0
SID104727,IT·게임,"응용프로그래머(Unix,Linux,Java)","UNIX,Linux, PDA, S,W, C,C++, Qt, App,프로그래밍",0개월,,"서울,경기,대전",제주대학교,컴퓨터교육,,無,80.0
SID104825,전문·교육·자격,교육·교사·교수·강사,"수학,강사",0개월,,"서울,경기,",성신여자대학교,수학과,,無,
SID104858,영업·판매·TM,기술영업,"CAD , 기술영업 , 기사",0개월,,"부산,울산,경남",동의대학교,기계공악,,無,60.0
SID10491,IT·게임,"응용프로그래머(Unix,Linux,Java)",DELPHI,0개월,,"서울,서울,서울",호원대학교,전자계산,,無,80.0
SID104921,경영·기획·회계·사무,물류·유통관리,물류관리사,0개월,,"서울,,",성균관대학교,영문학,,無,70.0
SID104932,영업·판매·TM,기술영업,"CAD , 기술영업 , 기사",0개월,,"부산,울산,경남",동의대학교,기계공악,,無,60.0
SID104989,경영·기획·회계·사무,사무·총무·법무,관리업무 및 총무,0개월,,"광주,광주,서울",광주대학교,행정학과,,無,80.0
SID105002,영업·판매·TM,영업관리·영업지원,영업,0개월,,"서울,경기,",성공회대학교,신학과,,無,
SID105013,영업·판매·TM,텔레마케팅(인/아웃바운드TM),"PB. 개인재무설계,",0개월,,"전북,서울,서울",광주대학교,경영학과,,有,80.0
SID105052,경영·기획·회계·사무,경영·기획·전략,"전산,기획",0개월,,"서울,경기,",서원대학교,회계학과,,有,80.0
SID105159,IT·게임,"응용프로그래머(Unix,Linux,Java)","VB,SI,ERP,RS232C,SQL SERVER,기획",0개월,,"서울,,",세종대학교,영어영문,,無,70.0
SID105179,IT·게임,"응용프로그래머(Unix,Linux,Java)",금융,0개월,,"서울,서울,서울",동덕여자대학교,전산계산,,無,80.0
SID105323,경영·기획·회계·사무,광고·홍보,홍보,0개월,,"서울,강원,경기",상지대학교,사회복지,,無,60.0
SID105372,영업·판매·TM,영업관리·영업지원,영업관리,0개월,,"경남,부산,울산",동서대학교,금융보험학,,有,70.0
SID105373,경영·기획·회계·사무,생산관리·품질관리·품질보증,"품질관리,품질보증,ISO",6년 5개월,정규직,"부산,경남,경북",동의대학교,산업공학,,有,60.0
SID105552,IT·게임,웹마스터,시스템엔지니어,0개월,,"서울,대전,충남",호원대학교,전자계산,,有,50.0
SID105565,IT·게임,"응용프로그래머(Unix,Linux,Java)","SI , SM , 개발 , 프로그래머, MIS , PowerBuilder , PB , Oracle , OCP , CISA , Entera , Unix , C",0개월,,"경남,부산,서울",동의대학교,사학,,有,
SID10567,재료·화학·섬유·의복,식품가공,"영업관리,식품가공,의약,거래처관리,매장관리,제약영업,자동차정비,건물관리,병의원영업,공무,튜닝,제약",9년 0개월,"정규직, 계약직","서울,광주,전남",광주대학교,컴퓨터학과,,有,60.0
SID105682,전문·교육·자격,법률·법무·특허·상표,"법무,금융",0개월,,"서울,전북,경기",성균관대학교,법학,,無,50.0
SID105804,IT·게임,웹기획·웹마케팅·PM,"인터넷,기획,마케팅,사무,언론홍보,MD,상품등록,상품기획",0개월,,"서울,,",세명대학교,광고홍보학과, ,無,70.0
SID105856,건설·기계·전기·전자,전기·전자·제어,"전기, 소방",0개월,,"서울,경기,전남",목포대학교,전기공학,,有,60.0
SID10593,영업·판매·TM,기술영업,"기술영업,영업관리",0개월,,"서울,경기,부산",동의대학교,경영,,無,60.0
SID105968,경영·기획·회계·사무,광고·홍보,"홍보,사보제작및편집,카피라이터,경력자",0개월,,"서울,서울,서울",이화여자대학교,사범대학유아교육과,,無,
SID106046,IT·게임,웹마스터,"시스템운영,기술지원엔지니어,기술영업,OA",0개월,,"서울,경기,인천",한성대학교,컴퓨터공학과,TOEIC,有,80.0
SID106060,건설·기계·전기·전자,전기·전자·제어,"기술,전자,지원,고객지원,계측기,건축,건설기계,기계감리",4년 0개월,정규직,"서울,서울,서울",세종대학교,정보통신공학과,TOEIC,無,60.0
SID106063,IT·게임,웹마스터,"시스템운영,기술지원(SE),엔지니어,기술영업,OA,Admin",0개월,,"서울,경기,인천",한성대학교,컴퓨터공학과,TOEIC,有,80.0
SID106132,건설·기계·전기·전자,건설·토목·건축설비,설계,10년 7개월,정규직,"서울,경기,",선문대학교,토목공학과,,無,80.0
SID106151,재료·화학·섬유·의복,제약·의약,"의료,보건,컴퓨터,강사,교육훈련",0개월,,"서울,경기,",이화여자대학교,간호학과,,無,60.0
SID106231,IT·게임,웹프로그래머,"Web , Java , JSP , Oracle",0개월,,"충북,대전,서울",연세대학교,기계공학과,TOEIC,有,90.0
SID10626,IT·게임,웹마스터,"시스템운영,SM",4년 2개월,정규직,"서울,경기,인천",전주대학교,산업공학과,,有,70.0
SID106273,영업·판매·TM,해외영업,무역,3년 1개월,정규직,"서울,경기,부산",수원대학교,회계,TOEIC,有,80.0
SID10631,영업·판매·TM,텔레마케팅(인/아웃바운드TM),"고객상담,고객지원",0개월,,"서울,서울,서울",성신여자대학교,중어중문,,無,60.0
SID10633,건설·기계·전기·전자,CAD·CAM,"연구,개발,설계,기술직",0개월,,"대전,충남,충북",한밭대학교,기계공학,,無,80.0
SID10642,경영·기획·회계·사무,경리·회계,"회계,자금",0개월,,"서울,인천,경기",상지대학교,회계학,,無,80.0
SID106579,영업·판매·TM,텔레마케팅(인/아웃바운드TM),"일반사무,상담",0개월,,"서울,,",세종대학교,가정학과,TOEIC,無,80.0
SID106634,경영·기획·회계·사무,마케팅·마케팅기획,"마케팅 , A.E",0개월,,"서울,부산,미국",연세대학교,정치외교학,TOEIC,無,80.0
SID106772,전문·교육·자격,교육·교사·교수·강사,"강사,일본어,교사,일반사무직,무역,번역",0개월,,"경기,서울,",신라대학교,사범대학 일어교육과, ,有,70.0
SID106852,IT·게임,웹마스터,"SM,시스템운영,시스템분석,시스템설계,웹프로그래머,SQL,데이터베이스,asp,전산직,전산기획",6년 5개월,정규직,"서울,경기,",인천대학교,전산,,有,
SID106855,경영·기획·회계·사무,인사·노무·교육·인재개발,"인사,인사관리,인재개발,HRD",6년 8개월,정규직,"서울,서울,서울",전주대학교,정보 경영학,,無,60.0
SID106886,건설·기계·전기·전자,기계·기계설계·기계설비,"기계공학,영어가능,발전설비 생산업체에서 1년간 근무경험.",0개월,,"경기,서울,전북",군산대학교,기계공학,TOEIC,有,70.0
SID107086,경영·기획·회계·사무,경영·기획·전략,상품,0개월,,"서울,해외,해외",중앙대학교,응용통계,,無,70.0
SID107111,IT·게임,"응용프로그래머(Unix,Linux,Java)","Visual Basic , VB , ASP , SQL Server , Delphi , Oracle , MCDBA , MCSD , UML",0개월,,"서울,경기,인천",동서대학교,컴퓨터공학과,,有,90.0
SID107124,전문·교육·자격,교육·교사·교수·강사,"초중고 영어회화,주니어토익,L,C 영어로 수업진행",0개월,,"서울,서울,서울",이화여자대학교,영어교육,,無,60.0
SID107149,건설·기계·전기·전자,전기·전자·제어,"전자회로설계,회로설계,Firmware,circuitdesign,fpga,vhdl,하드웨어,전자회로",12년 1개월,정규직,"서울,경기,대전",동아대학교,전자공학과,,無,
SID107159,경영·기획·회계·사무,사무·총무·법무,"사무,관리",0개월,,"경기,경기,경기",서원대학교,경영학과,,無,60.0
SID10717,경영·기획·회계·사무,마케팅·마케팅기획,"웹디자인,포토샵,HTML,드림위버,플래쉬,전기,전기공사,전기기사,홍보,마케팅,마케팅기획",0개월,,"서울,부산,인천",동아대학교,전기공학,,有,
SID107373,경영·기획·회계·사무,사무·총무·법무,"일본어,호텔,항공,컴퓨터활용능력,일본어통역",0개월,,"경기,서울,전북",군산대학교,일어일문,TOEIC,有,90.0
SID107383,IT·게임,"응용프로그래머(Unix,Linux,Java)","iPhone,Embedded,C,C,linux,unix,Embedded,STB,Mobile,UnixC,임베디드리눅스,아이폰,맥,리눅스,임베디드,ObjC,오브젝티브씨,ObjectiveC,시스템프로그래머,이동통신",10년 1개월,정규직,"서울,경기,대전",상지대학교,응용통계학과,IELTS,有,70.0
SID107401,경영·기획·회계·사무,기타 경영·기획·회계·사무,건설회사 현장관리,0개월,,"서울,경기,인천",전주대학교,법학,,無,70.0
SID107402,경영·기획·회계·사무,기타 경영·기획·회계·사무,건설회사 현장관리,0개월,,"서울,경기,인천",전주대학교,법학,,無,70.0
SID107532,IT·게임,"응용프로그래머(Unix,Linux,Java)","MSSQL,Oracle,VisualBasic,XML",0개월,,"서울,서울,서울",상지대학교,자원공학,,有,50.0
SID107533,영업·판매·TM,해외영업,RESUME,0개월,,"서울,경기,",수원대학교,식품영양학과,TOEIC,無,80.0
SID107585,건설·기계·전기·전자,전기·전자·제어,"생산기술 , 반도체장비 , CADCAM , 자동차 , 항공 , 기계설계",0개월,,"충남,대전,경남",성균관대학교,금속재료,,無,70.0
SID107714,IT·게임,서버·네트워크·보안,"Unix,보안,네트워크,시스템관리",0개월,,"서울,경기,인천",중앙대학교,경제학,,有,
SID107721,디자인,제품·산업디자인,"산업디지인,제품디자인,CAD",0개월,,"전국,전국,전국",동의대학교,제품디자인,,無,80.0
SID107730,경영·기획·회계·사무,사무·총무·법무,"경영, 사무, 관리",0개월,,"경기,서울,기타",서원대학교,환경과학,,有,50.0
SID107742,문화·예술·신문·방송,영상·음향·사진·카메라,"작가,시나리오,취재기자,방송",0개월,,"서울,대전,경기",서원대학교,경영학과,,無,
SID107752,재료·화학·섬유·의복,섬유·의복,"의류,의상,디자이너,디자인,판매,팀장,아동복,제조",0개월,,"서울,경기,",중앙대학교,의류학,,無,80.0
SID107898,재료·화학·섬유·의복,제약·의약,7277,0개월,,"전북,광주,",전주대학교,산업공학,,無,50.0
SID107987,문화·예술·신문·방송,영상·음향·사진·카메라,,0개월,,"서울,경기,충북",성균관대학교,한문학,,無,70.0
SID107993,문화·예술·신문·방송,영상·음향·사진·카메라,,0개월,,"서울,경기,충북",성균관대학교,한문학,,無,70.0
SID107997,경영·기획·회계·사무,경영·기획·전략,"MD,상품기획,BUYER , 홍보,해외영업,기획,",0개월,,"서울,,",이화여자대학교,의류직물,TOEIC,無,70.0
SID10808,건설·기계·전기·전자,기계·기계설계·기계설비,"CAD,기계설비,기계설계,메카트로닉스,엔지니어,자동화,연구개발,기계",0개월,,"경기,서울,경기",수원대학교,기계공학,,無,70.0
SID108157,문화·예술·신문·방송,영상·음향·사진·카메라,"기자(취재, 사보, 편집),카피라이터,출판,광고",0개월,,"서울,서울,서울",동덕여자대학교,국어국문학과,TOEIC,有,80.0
SID108212,경영·기획·회계·사무,광고·홍보,"카피,홍보,광고,편집",0개월,,"서울,서울,서울",동덕여자대학교,국어국문학과,TOEIC,有,70.0
SID108314,경영·기획·회계·사무,비서·인포메이션·수행·안내,임원 비서,0개월,,"서울,미국,해외",이화여자대학교,의류직물,TOEFL,有,
SID108328,영업·판매·TM,텔레마케팅(인/아웃바운드TM),"고객관리,분쟁조정,마케팅활성화",0개월,,"서울,경기,",이화여자대학교,정치외교학,,無,60.0
SID108342,전문·교육·자격,교육·교사·교수·강사,,0개월,,"서울,,",성신여자대학교,사회교육학과,,無,70.0
SID108382,IT·게임,웹기획·웹마케팅·PM,"asp,nt,vb,프로그래밍,웹기획,웹마케팅",0개월,,"서울,강원,경기",성균관대학교,불어불문학과,,無,70.0
SID108408,경영·기획·회계·사무,사무·총무·법무,"일어,일본어,사무,인사,총무,관리,경리,회계,안내,번역",0개월,,"서울,경기,",수원대학교,일본어과,JPT,有,80.0
SID108410,IT·게임,서버·네트워크·보안,,4년 8개월,,"광주,전남,전국",광주대학교,컴퓨터공학과,,有,70.0
SID10846,IT·게임,웹마스터,"Windows NT,UNIX,admin,Linux",0개월,,"서울,광주,",호남대학교,소프트웨어공학,,無,
SID108613,경영·기획·회계·사무,비서·인포메이션·수행·안내,"전문비서,비서",0개월,,"서울,서울,서울",동덕여자대학교,국어국문학과,TOEIC,有,70.0
SID10867,경영·기획·회계·사무,경영·기획·전략,"일반기획,사업기획,경영기획,전략기획",0개월,,"서울,경기,",서울여자대학교,영문,TEPS,有,80.0
SID108676,경영·기획·회계·사무,경리·회계,회계,0개월,,"충북,대전,충남",한밭대학교,경영학,,無,70.0
SID108687,문화·예술·신문·방송,영상·음향·사진·카메라,기자,0개월,,"서울,서울,서울",동덕여자대학교,국어국문학과,TOEIC,有,70.0
SID108722,경영·기획·회계·사무,마케팅·마케팅기획,기획,0개월,,"서울,경기,미국",세종대학교,음악학,,無,
SID108868,경영·기획·회계·사무,사무·총무·법무,편집디자인,0개월,,"서울,경기,인천",동아대학교,행정학,,無,
SID108929,경영·기획·회계·사무,사무·총무·법무,,7년 9개월,,"경기,서울,",수원대학교,행정학과, ,有,90.0
SID108970,디자인,의류·패션·잡화디자인,"의상디자인,MD",0개월,,"서울,,",세종대학교,의상학,,無,70.0
SID109020,IT·게임,웹프로그래머,"웹마스터 , IT강사 , 웹프로그래머",0개월,,"서울,전국,전북",광주대학교,컴퓨터학,,有,70.0
SID109122,경영·기획·회계·사무,광고·홍보,"홍보, 광고, 기획",0개월,,"서울,,",서울여자대학교,"미생물공학, 경영학과(복수전공)",,無,60.0
SID109161,경영·기획·회계·사무,생산관리·품질관리·품질보증,"전기,line관리,생산관리",0개월,,"충북,광주,서울",호남대학교,전기공학과,TOEIC,有,60.0
SID109181,전문·교육·자격,교육·교사·교수·강사,"강사,재무,세무,회계,수학",0개월,,"서울,경기,",성균관대학교,회계학,,無,60.0
SID109434,IT·게임,웹디자인,"웹디자인,포토샵,일러스트,플래쉬,드림위버,나모",5년 0개월,정규직,"서울,서울,서울",한림대학교,법학,,有,60.0
SID109629,경영·기획·회계·사무,사무·총무·법무,사무직,0개월,,"서울,인천,경기",세명대학교,영어영문,,無,80.0
SID109646,IT·게임,"응용프로그래머(Unix,Linux,Java)","Visual Basic , VB , Delphi , Oracle , SQL Server , MCDBA , UML",0개월,,"서울,경기,경남",동서대학교,컴퓨터공학과,,有,90.0
SID109684,영업·판매·TM,영업관리·영업지원,"영업 , 영업관리 , 영업기획",0개월,,"서울,경기,",한림대학교,경영학,,有,50.0
SID109687,경영·기획·회계·사무,사무·총무·법무,"VAN&PG관련,일반사무",0개월,,"서울,서울,서울",성균관대학교,사학,,無,80.0
