직종,세부직종,직무태그,근무형태,근무지역,출신대학,대학전공,어학시험,자격증,대학성적,근무경력_y,근무경력_m,근무경력_d
재료·화학·섬유·의복,에너지·환경,"환경,수질,수처리,하수처리,CAD,",기타,"서울,경기,",상지대학교,환경공학과,없음,有,70.0,0,0,0
경영·기획·회계·사무,경리·회계,없음,정규직,"서울,서울,서울",성균관대학교,영문학과,없음,無,70.0,0,0,0
IT·게임,"응용프로그래머(Unix,Linux,Java)",프로그래머,기타,"서울,경기,",한성대학교,국어국문학과,없음,無,80.0,0,0,0
전문·교육·자격,호텔·숙박·여행,"영어  , MS-Word , TESL",기타,"서울,경기,",연세대학교,역사학과,TOEIC,有,80.0,2,5,880
영업·판매·TM,영업·영업기획,영업,기타,"서울,경기,전북",호원대학교,컴퓨터공학과,없음,無,74.87671232876713,0,0,0
IT·게임,서버·네트워크·보안,"서버,네트워크,DB관리,JAVA,JSP,ASP",기타,"서울,경기,전북",전주대학교,기계공학과,없음,有,70.0,0,0,0
IT·게임,시스템분석·설계·컨설턴트·ERP,"SAP,ABAP,전산프로그래머",기타,"기타,,",한림대학교,컴퓨터공학과,없음,有,69.41176470588235,0,0,0
영업·판매·TM,영업관리·영업지원,"영업기획,기술영업,유통영업,LCD영업,마케팅,마케팅기획,사업기획,패션마케팅",정규직,"서울,경기,경남",중앙대학교,경제학과,TOEIC,無,70.0,3,5,1245
영업·판매·TM,영업·영업기획,관리직,기타,"전북,전북,대전",전주대학교,경영학과,없음,無,40.0,0,0,0
영업·판매·TM,영업관리·영업지원,영업관리,기타,"서울,경기,",성신여자대학교,불어학과,없음,有,70.0,0,0,0
IT·게임,서버·네트워크·보안,"MCSE,MCDBA,기획,마케팅,SE,시스템분석,OCP",기타,"서울,광주,",목포대학교,물리학과,없음,有,60.0,0,0,0
건설·기계·전기·전자,전기·전자·제어,개발,기타,"충남,경기,서울",한밭대학교,전파학과,TOEIC,有,72.6986301369863,0,0,0
경영·기획·회계·사무,경영·기획·전략,"CONSULTANT,MERCHANDISER,머천다이저,바이어,백화점MD,할인점MD,MD",정규직,"서울,,",이화여자대학교,매체학과,TOEIC,無,70.0,12,10,4680
경영·기획·회계·사무,무역·수출입·운송사무,일본어,기타,"서울,강원,",동덕여자대학교,일본학과,JLPT,有,80.0,0,0,0
경영·기획·회계·사무,무역·수출입·운송사무,"무역 , 해외영업 , ",기타,"서울,인천,경기",인천대학교,무역학과,없음,有,70.0,0,0,0
영업·판매·TM,영업관리·영업지원,"편집디자인,photoshop,cad,웹마스터",기타,"부산,서울,인도",동아대학교,정치학과,없음,有,70.0,0,0,0
IT·게임,"응용프로그래머(Unix,Linux,Java)","Visual C++,C++,Delphi,ASP,JAVA,XML,서버프로그래밍,네트웍프로그래밍",기타,"서울,부산,",동아대학교,컴퓨터공학과,없음,無,70.0,0,0,0
영업·판매·TM,영업·영업기획,"구조설계, CAD, photoshop, MIDAS, 영어, 영업관리",기타,"서울,부산,경기",동아대학교,건설학과,TOEIC,有,80.0,0,0,0
IT·게임,웹프로그래머,"Unix,Windows2000,리눅스,JAVA,자바,웹프로그래머,일본&#54387E20,SCJP,JSP,ASP,Servlet,웹마스터,EJB,mhtml,jsp,Java,SQL,xml,MySQL,AJAX","정규직, 해외취업","서울,경기,일본",수원대학교,통계학과,없음,有,80.0,8,2,2980
경영·기획·회계·사무,경리·회계,"급여관리,경리,관리,일반사무,",기타,"서울,서울,서울",한성대학교,경영학과,없음,無,70.0,0,0,0
경영·기획·회계·사무,경영·기획·전략,"기획 , 예산 , 원가 , 사업계획 , 손익 , 비용관리 , 경영분석 , 인사 , 총무",기타,"서울,대전,경기",선문대학교,경영학과,없음,無,70.0,0,0,0
전문·교육·자격,외국어·번역·통역,"영어 , 외신 , 번역 , 통역 , 기자 , 편집 , 경제 , 금융 , CPA , 회계 , 자금",기타,"서울,미국,해외",연세대학교,경영학과,TOEIC,有,80.0,0,0,0
경영·기획·회계·사무,비서·인포메이션·수행·안내,비서및 인사업무,기타,"서울,경기,해외",동덕여자대학교,영문학과,없음,無,80.0,0,0,0
건설·기계·전기·전자,전기·전자·제어,"영어 , 전자 , 반도체 , 기술영업 , 단말기 , 전자부품",기타,"서울,경기,충남",수원대학교,전기학과,TOEIC,無,70.0,0,0,0
경영·기획·회계·사무,인사·노무·교육·인재개발,인사업무,기타,"서울,서울,서울",상지대학교,행정학과,없음,無,70.0,0,0,0
경영·기획·회계·사무,광고·홍보,"홍보,광고,pr",기타,"서울,경기,",서울여자대학교,역사학과,없음,無,80.0,0,0,0
경영·기획·회계·사무,광고·홍보,"홍보,광고,pr",기타,"서울,경기,",서울여자대학교,역사학과,없음,無,80.0,0,0,0
IT·게임,웹프로그래머,프로그래머,기타,"서울,미국,캐나다",수원대학교,신학과,없음,有,70.0,1,11,695
IT·게임,서버·네트워크·보안,"NETWORK , LINUX , SERVER , ROUTER , SWITCH , HUB  , 광전송장비",기타,"서울,서울,경기",세종대학교,전산학과,없음,有,70.0,0,0,0
IT·게임,"응용프로그래머(Unix,Linux,Java)","델파이, 자바",기타,"광주,전남,서울",목포대학교,컴퓨터공학과,없음,無,73.30357142857143,0,0,0
IT·게임,웹디자인,"웹디자인 , 포토샵 , 일러스트 , 플래쉬 , html코딩",기타,"서울,,",성신여자대학교,수학과,없음,無,90.0,0,0,0
건설·기계·전기·전자,건설·토목·건축설비,"안전,산업안전,안전관리",정규직,"인천,서울,경기",인천대학교,산업학과,없음,有,80.0,9,3,3375
영업·판매·TM,텔레마케팅(인/아웃바운드TM),"일반사무,총무",기타,"서울,서울,서울",군산대학교,디자인학과,없음,無,80.0,0,0,0
건설·기계·전기·전자,기계·기계설계·기계설비,시원하게따사롭게,기타,"서울,경기,",동의대학교,기계공학과,없음,無,80.0,0,0,0
경영·기획·회계·사무,비서·인포메이션·수행·안내,비서,기타,"서울,,",상지대학교,법학과,없음,無,70.47819971870605,0,0,0
경영·기획·회계·사무,광고·홍보,"광고 , 홍보 , PR , 사무 , 기획",기타,"서울,경기,",이화여자대학교,국어국문학과,없음,有,50.0,0,0,0
경영·기획·회계·사무,물류·유통관리,"물류,물류기획,병원,의료,시스템운영,SM,방화벽,서버관리,MCSE,IIS,LAN,Windows2000,SQL,CCNA,정보보안,네트워크관리,전산기획,전산직","정규직, 파견직","서울,경기,인천",성공회대학교,컴퓨터공학과,없음,有,70.0,1,10,665
영업·판매·TM,해외영업,"영어, 일본어",기타,"서울,캐나다,기타",동아대학교,전파학과,없음,無,60.0,0,0,0
경영·기획·회계·사무,경영·기획·전략,"프렌차이즈사업,경영,경영관리,조직관리,CEO,브랜드매니저,영업관리,거래처관리,영업기획,백화점영업,법인영업",정규직,"부산,서울,말레이시아",동아대학교,경영학과,없음,無,70.0,19,3,7025
건설·기계·전기·전자,전기·전자·제어,"H,W,전자,ASIC",기타,"서울,경기,",성균관대학교,재료공학과,없음,無,70.0,0,0,0
경영·기획·회계·사무,사무·총무·법무,"총무,인사,관리,사무관리,영업관리",기타,"서울,서울,서울",성결대학교,역사학과,없음,有,80.0,0,0,0
IT·게임,시스템분석·설계·컨설턴트·ERP,없음,기타,"서울,인천,해외",인천대학교,전파학과,TOEIC,有,70.0,0,0,0
경영·기획·회계·사무,사무·총무·법무,"행정사무,영어,상담,",기타,"광주,서울,",호남대학교,영문학과,TOEIC,有,70.0,0,0,0
건설·기계·전기·전자,기계·기계설계·기계설비,"공조냉동,시설관리,CAD",기타,"대전,경기,",한밭대학교,기계공학과,없음,有,80.0,0,0,0
경영·기획·회계·사무,사무·총무·법무,"사무,경리,총무,인사",기타,"대전,대전,대전",한밭대학교,전파학과,없음,有,70.0,0,0,0
재료·화학·섬유·의복,섬유·의복,남성복디자인,정규직,"서울,서울,",성균관대학교,유학,없음,無,71.03946637020567,9,7,3495
경영·기획·회계·사무,마케팅·마케팅기획,"마케팅,기획,영어,엔터테인먼트",기타,"서울,,",서울여자대학교,경영학과,TOEIC,無,70.0,0,0,0
전문·교육·자격,교육·교사·교수·강사,영어강사,기타,"인천,인천,서울",세명대학교,영문학과,없음,無,70.0,0,0,0
IT·게임,웹디자인,"웹디자인,인터페이스디자인",기타,"서울,미국,캐나다",이화여자대학교,국어국문학과,없음,無,70.0,0,0,0
IT·게임,웹디자인,"웹디자인 , UI디자인 ,인터페이스디자인",기타,"서울,서울,서울",신라대학교,컴퓨터공학과,JLPT,有,70.0,0,0,0
경영·기획·회계·사무,무역·수출입·운송사무,"상품기획,무역,해외영업,마케팅",기타,"서울,,서울",성균관대학교,생물학과,TOEIC,有,70.0,0,0,0
재료·화학·섬유·의복,섬유·의복,"Merchandiser 경력 3년차,영어,Marketing,외국계 회사",기타,"서울,서울,서울",이화여자대학교,유학,TOEIC,有,70.0,0,0,0
IT·게임,웹디자인,"웹디자인,인터페이스디자인",기타,"서울,미국,캐나다",이화여자대학교,국어국문학과,없음,無,70.0,0,0,0
IT·게임,웹프로그래머,"웹마스터,웹프로그래머,서버관리, 디비,메일 서버관리",기타,"서울,서울,서울",한성대학교,산업학과,없음,無,70.0,0,0,0
디자인,의류·패션·잡화디자인,"상품기획 , 니트디자인 ,",기타,"서울,서울,경기",성균관대학교,디자인학과,없음,有,70.0,0,0,0
경영·기획·회계·사무,구매·자재사무,"구매,자재,관리","정규직, 계약직, ","서울,,",수원대학교,재료공학과,없음,有,60.0,8,9,3190
문화·예술·신문·방송,영상·음향·사진·카메라,"편집,연출,기획,출판",기타,"서울,경기,",연세대학교,수학과,없음,無,60.0,0,0,0
문화·예술·신문·방송,영상·음향·사진·카메라,편집,기타,"서울,경기,",수원대학교,생물학과,없음,有,60.0,0,0,0
IT·게임,웹프로그래머,"웹프로그래머,JAVA,JSP,XML,EJB,PHP,MSSQL,MYSQL,LINUX,SI,CRM",기타,"서울,서울,서울",동덕여자대학교,전파학과,없음,有,70.0,0,0,0
경영·기획·회계·사무,경리·회계,세무,기타,"서울,경기,인천",경기대학교,경영학과,없음,無,70.0,0,0,0
경영·기획·회계·사무,광고·홍보,"홍보,언론홍보,PR",기타,"서울,,",이화여자대학교,매체학과,없음,無,60.0,0,0,0
전문·교육·자격,교육·교사·교수·강사,"상담,비서,교육,영어",기타,"경기,서울,",성신여자대학교,영문학과,없음,無,74.84848484848484,0,0,0
전문·교육·자격,교육·교사·교수·강사,영어유치원 교사,기타,"경기,,",서울여자대학교,영문학과,TOEIC,無,90.0,0,0,0
IT·게임,"응용프로그래머(Unix,Linux,Java)","UNIX,Linux, PDA, S,W, C,C++, Qt, App,프로그래밍",기타,"서울,경기,대전",제주대학교,교육학과,없음,無,80.0,0,0,0
전문·교육·자격,교육·교사·교수·강사,"수학,강사",기타,"서울,경기,",성신여자대학교,수학과,없음,無,74.84848484848484,0,0,0
영업·판매·TM,기술영업,"CAD , 기술영업 , 기사",기타,"부산,울산,경남",동의대학교,기계공학과,없음,無,60.0,0,0,0
IT·게임,"응용프로그래머(Unix,Linux,Java)",DELPHI,기타,"서울,서울,서울",호원대학교,전파학과,없음,無,80.0,0,0,0
경영·기획·회계·사무,물류·유통관리,물류관리사,기타,"서울,,",성균관대학교,영문학과,없음,無,70.0,0,0,0
영업·판매·TM,기술영업,"CAD , 기술영업 , 기사",기타,"부산,울산,경남",동의대학교,기계공학과,없음,無,60.0,0,0,0
경영·기획·회계·사무,사무·총무·법무,관리업무 및 총무,기타,"광주,광주,서울",광주대학교,행정학과,없음,無,80.0,0,0,0
영업·판매·TM,영업관리·영업지원,영업,기타,"서울,경기,",성공회대학교,신학과,없음,無,73.61344537815125,0,0,0
영업·판매·TM,텔레마케팅(인/아웃바운드TM),"PB. 개인재무설계,",기타,"전북,서울,서울",광주대학교,경영학과,없음,有,80.0,0,0,0
경영·기획·회계·사무,경영·기획·전략,"전산,기획",기타,"서울,경기,",서원대학교,회계학과,없음,有,80.0,0,0,0
IT·게임,"응용프로그래머(Unix,Linux,Java)","VB,SI,ERP,RS232C,SQL SERVER,기획",기타,"서울,,",세종대학교,영문학과,없음,無,70.0,0,0,0
IT·게임,"응용프로그래머(Unix,Linux,Java)",금융,기타,"서울,서울,서울",동덕여자대학교,전산학과,없음,無,80.0,0,0,0
경영·기획·회계·사무,광고·홍보,홍보,기타,"서울,강원,경기",상지대학교,사회학과,없음,無,60.0,0,0,0
영업·판매·TM,영업관리·영업지원,영업관리,기타,"경남,부산,울산",동서대학교,보험학과,없음,有,70.0,0,0,0
경영·기획·회계·사무,생산관리·품질관리·품질보증,"품질관리,품질보증,ISO",정규직,"부산,경남,경북",동의대학교,산업학과,없음,有,60.0,6,5,2340
IT·게임,웹마스터,시스템엔지니어,기타,"서울,대전,충남",호원대학교,전파학과,없음,有,50.0,0,0,0
IT·게임,"응용프로그래머(Unix,Linux,Java)","SI , SM , 개발 , 프로그래머, MIS , PowerBuilder , PB , Oracle , OCP , CISA , Entera , Unix , C",기타,"경남,부산,서울",동의대학교,역사학과,없음,有,71.30162703379224,0,0,0
재료·화학·섬유·의복,식품가공,"영업관리,식품가공,의약,거래처관리,매장관리,제약영업,자동차정비,건물관리,병의원영업,공무,튜닝,제약","정규직, 계약직","서울,광주,전남",광주대학교,컴퓨터공학과,없음,有,60.0,9,0,3285
전문·교육·자격,법률·법무·특허·상표,"법무,금융",기타,"서울,전북,경기",성균관대학교,법학과,없음,無,50.0,0,0,0
IT·게임,웹기획·웹마케팅·PM,"인터넷,기획,마케팅,사무,언론홍보,MD,상품등록,상품기획",기타,"서울,,",세명대학교,광고홍보학과,없음,無,70.0,0,0,0
건설·기계·전기·전자,전기·전자·제어,"전기, 소방",기타,"서울,경기,전남",목포대학교,전기학과,없음,有,60.0,0,0,0
영업·판매·TM,기술영업,"기술영업,영업관리",기타,"서울,경기,부산",동의대학교,경영학과,없음,無,60.0,0,0,0
경영·기획·회계·사무,광고·홍보,"홍보,사보제작및편집,카피라이터,경력자",기타,"서울,서울,서울",이화여자대학교,교육학과,없음,無,68.31265508684864,0,0,0
IT·게임,웹마스터,"시스템운영,기술지원엔지니어,기술영업,OA",기타,"서울,경기,인천",한성대학교,컴퓨터공학과,TOEIC,有,80.0,0,0,0
건설·기계·전기·전자,전기·전자·제어,"기술,전자,지원,고객지원,계측기,건축,건설기계,기계감리",정규직,"서울,서울,서울",세종대학교,신학과,TOEIC,無,60.0,4,0,1460
IT·게임,웹마스터,"시스템운영,기술지원(SE),엔지니어,기술영업,OA,Admin",기타,"서울,경기,인천",한성대학교,컴퓨터공학과,TOEIC,有,80.0,0,0,0
건설·기계·전기·전자,건설·토목·건축설비,설계,정규직,"서울,경기,",선문대학교,토목공과,없음,無,80.0,10,7,3860
재료·화학·섬유·의복,제약·의약,"의료,보건,컴퓨터,강사,교육훈련",기타,"서울,경기,",이화여자대학교,간호학과,없음,無,60.0,0,0,0
IT·게임,웹프로그래머,"Web , Java , JSP , Oracle",기타,"충북,대전,서울",연세대학교,기계공학과,TOEIC,有,90.0,0,0,0
IT·게임,웹마스터,"시스템운영,SM",정규직,"서울,경기,인천",전주대학교,산업학과,없음,有,70.0,4,2,1520
영업·판매·TM,해외영업,무역,정규직,"서울,경기,부산",수원대학교,회계학과,TOEIC,有,80.0,3,1,1125
영업·판매·TM,텔레마케팅(인/아웃바운드TM),"고객상담,고객지원",기타,"서울,서울,서울",성신여자대학교,중문학과,없음,無,60.0,0,0,0
건설·기계·전기·전자,CAD·CAM,"연구,개발,설계,기술직",기타,"대전,충남,충북",한밭대학교,기계공학과,없음,無,80.0,0,0,0
경영·기획·회계·사무,경리·회계,"회계,자금",기타,"서울,인천,경기",상지대학교,회계학과,없음,無,80.0,0,0,0
영업·판매·TM,텔레마케팅(인/아웃바운드TM),"일반사무,상담",기타,"서울,,",세종대학교,가정관리학과,TOEIC,無,80.0,0,0,0
경영·기획·회계·사무,마케팅·마케팅기획,"마케팅 , A.E",기타,"서울,부산,미국",연세대학교,정치학과,TOEIC,無,80.0,0,0,0
전문·교육·자격,교육·교사·교수·강사,"강사,일본어,교사,일반사무직,무역,번역",기타,"경기,서울,",신라대학교,일본학과,없음,有,70.0,0,0,0
IT·게임,웹마스터,"SM,시스템운영,시스템분석,시스템설계,웹프로그래머,SQL,데이터베이스,asp,전산직,전산기획",정규직,"서울,경기,",인천대학교,전산학과,없음,有,71.3126843657817,6,5,2340
경영·기획·회계·사무,인사·노무·교육·인재개발,"인사,인사관리,인재개발,HRD",정규직,"서울,서울,서울",전주대학교,경영학과,없음,無,60.0,6,8,2430
건설·기계·전기·전자,기계·기계설계·기계설비,"기계공학,영어가능,발전설비 생산업체에서 1년간 근무경험.",기타,"경기,서울,전북",군산대학교,기계공학과,TOEIC,有,70.0,0,0,0
경영·기획·회계·사무,경영·기획·전략,상품,기타,"서울,해외,해외",중앙대학교,통계학과,없음,無,70.0,0,0,0
IT·게임,"응용프로그래머(Unix,Linux,Java)","Visual Basic , VB , ASP , SQL Server , Delphi , Oracle , MCDBA , MCSD , UML",기타,"서울,경기,인천",동서대학교,컴퓨터공학과,없음,有,90.0,0,0,0
전문·교육·자격,교육·교사·교수·강사,"초중고 영어회화,주니어토익,L,C 영어로 수업진행",기타,"서울,서울,서울",이화여자대학교,영문학과,없음,無,60.0,0,0,0
건설·기계·전기·전자,전기·전자·제어,"전자회로설계,회로설계,Firmware,circuitdesign,fpga,vhdl,하드웨어,전자회로",정규직,"서울,경기,대전",동아대학교,전파학과,없음,無,71.17144600366076,12,1,4410
경영·기획·회계·사무,사무·총무·법무,"사무,관리",기타,"경기,경기,경기",서원대학교,경영학과,없음,無,60.0,0,0,0
경영·기획·회계·사무,마케팅·마케팅기획,"웹디자인,포토샵,HTML,드림위버,플래쉬,전기,전기공사,전기기사,홍보,마케팅,마케팅기획",기타,"서울,부산,인천",동아대학교,전기학과,없음,有,71.17144600366076,0,0,0
경영·기획·회계·사무,사무·총무·법무,"일본어,호텔,항공,컴퓨터활용능력,일본어통역",기타,"경기,서울,전북",군산대학교,일본학과,TOEIC,有,90.0,0,0,0
IT·게임,"응용프로그래머(Unix,Linux,Java)","iPhone,Embedded,C,C,linux,unix,Embedded,STB,Mobile,UnixC,임베디드리눅스,아이폰,맥,리눅스,임베디드,ObjC,오브젝티브씨,ObjectiveC,시스템프로그래머,이동통신",정규직,"서울,경기,대전",상지대학교,통계학과,IELTS,有,70.0,10,1,3680
경영·기획·회계·사무,기타 경영·기획·회계·사무,건설회사 현장관리,기타,"서울,경기,인천",전주대학교,법학과,없음,無,70.0,0,0,0
경영·기획·회계·사무,기타 경영·기획·회계·사무,건설회사 현장관리,기타,"서울,경기,인천",전주대학교,법학과,없음,無,70.0,0,0,0
IT·게임,"응용프로그래머(Unix,Linux,Java)","MSSQL,Oracle,VisualBasic,XML",기타,"서울,서울,서울",상지대학교,자원학과,없음,有,50.0,0,0,0
영업·판매·TM,해외영업,RESUME,기타,"서울,경기,",수원대학교,식품영양,TOEIC,無,80.0,0,0,0
건설·기계·전기·전자,전기·전자·제어,"생산기술 , 반도체장비 , CADCAM , 자동차 , 항공 , 기계설계",기타,"충남,대전,경남",성균관대학교,재료공학과,없음,無,70.0,0,0,0
IT·게임,서버·네트워크·보안,"Unix,보안,네트워크,시스템관리",기타,"서울,경기,인천",중앙대학교,경제학과,없음,有,70.30195381882771,0,0,0
디자인,제품·산업디자인,"산업디지인,제품디자인,CAD",기타,"전국,전국,전국",동의대학교,디자인학과,없음,無,80.0,0,0,0
경영·기획·회계·사무,사무·총무·법무,"경영, 사무, 관리",기타,"경기,서울,기타",서원대학교,환경공학과,없음,有,50.0,0,0,0
문화·예술·신문·방송,영상·음향·사진·카메라,"작가,시나리오,취재기자,방송",기타,"서울,대전,경기",서원대학교,경영학과,없음,無,72.24137931034483,0,0,0
재료·화학·섬유·의복,섬유·의복,"의류,의상,디자이너,디자인,판매,팀장,아동복,제조",기타,"서울,경기,",중앙대학교,디자인학과,없음,無,80.0,0,0,0
재료·화학·섬유·의복,제약·의약,7277,기타,"전북,광주,",전주대학교,산업학과,없음,無,50.0,0,0,0
문화·예술·신문·방송,영상·음향·사진·카메라,없음,기타,"서울,경기,충북",성균관대학교,중문학과,없음,無,70.0,0,0,0
문화·예술·신문·방송,영상·음향·사진·카메라,없음,기타,"서울,경기,충북",성균관대학교,중문학과,없음,無,70.0,0,0,0
경영·기획·회계·사무,경영·기획·전략,"MD,상품기획,BUYER , 홍보,해외영업,기획,",기타,"서울,,",이화여자대학교,디자인학과,TOEIC,無,70.0,0,0,0
건설·기계·전기·전자,기계·기계설계·기계설비,"CAD,기계설비,기계설계,메카트로닉스,엔지니어,자동화,연구개발,기계",기타,"경기,서울,경기",수원대학교,기계공학과,없음,無,70.0,0,0,0
문화·예술·신문·방송,영상·음향·사진·카메라,"기자(취재, 사보, 편집),카피라이터,출판,광고",기타,"서울,서울,서울",동덕여자대학교,국어국문학과,TOEIC,有,80.0,0,0,0
경영·기획·회계·사무,광고·홍보,"카피,홍보,광고,편집",기타,"서울,서울,서울",동덕여자대학교,국어국문학과,TOEIC,有,70.0,0,0,0
경영·기획·회계·사무,비서·인포메이션·수행·안내,임원 비서,기타,"서울,미국,해외",이화여자대학교,디자인학과,TOEFL,有,68.31265508684864,0,0,0
영업·판매·TM,텔레마케팅(인/아웃바운드TM),"고객관리,분쟁조정,마케팅활성화",기타,"서울,경기,",이화여자대학교,정치학과,없음,無,60.0,0,0,0
전문·교육·자격,교육·교사·교수·강사,없음,기타,"서울,,",성신여자대학교,사회학과,없음,無,70.0,0,0,0
IT·게임,웹기획·웹마케팅·PM,"asp,nt,vb,프로그래밍,웹기획,웹마케팅",기타,"서울,강원,경기",성균관대학교,불어학과,없음,無,70.0,0,0,0
경영·기획·회계·사무,사무·총무·법무,"일어,일본어,사무,인사,총무,관리,경리,회계,안내,번역",기타,"서울,경기,",수원대학교,일본학과,JLPT,有,80.0,0,0,0
IT·게임,서버·네트워크·보안,없음,기타,"광주,전남,전국",광주대학교,컴퓨터공학과,없음,有,70.0,4,8,1700
IT·게임,웹마스터,"Windows NT,UNIX,admin,Linux",기타,"서울,광주,",호남대학교,소프트웨어학과,없음,無,71.41463414634147,0,0,0
경영·기획·회계·사무,비서·인포메이션·수행·안내,"전문비서,비서",기타,"서울,서울,서울",동덕여자대학교,국어국문학과,TOEIC,有,70.0,0,0,0
경영·기획·회계·사무,경영·기획·전략,"일반기획,사업기획,경영기획,전략기획",기타,"서울,경기,",서울여자대학교,영문학과,TEPS,有,80.0,0,0,0
경영·기획·회계·사무,경리·회계,회계,기타,"충북,대전,충남",한밭대학교,경영학과,없음,無,70.0,0,0,0
문화·예술·신문·방송,영상·음향·사진·카메라,기자,기타,"서울,서울,서울",동덕여자대학교,국어국문학과,TOEIC,有,70.0,0,0,0
경영·기획·회계·사무,마케팅·마케팅기획,기획,기타,"서울,경기,미국",세종대학교,음악학과,없음,無,70.71491615180936,0,0,0
경영·기획·회계·사무,사무·총무·법무,편집디자인,기타,"서울,경기,인천",동아대학교,행정학과,없음,無,71.17144600366076,0,0,0
경영·기획·회계·사무,사무·총무·법무,없음,기타,"경기,서울,",수원대학교,행정학과,없음,有,90.0,7,9,2825
디자인,의류·패션·잡화디자인,"의상디자인,MD",기타,"서울,,",세종대학교,디자인학과,없음,無,70.0,0,0,0
IT·게임,웹프로그래머,"웹마스터 , IT강사 , 웹프로그래머",기타,"서울,전국,전북",광주대학교,컴퓨터공학과,없음,有,70.0,0,0,0
경영·기획·회계·사무,광고·홍보,"홍보, 광고, 기획",기타,"서울,,",서울여자대학교,경영학과,없음,無,60.0,0,0,0
경영·기획·회계·사무,생산관리·품질관리·품질보증,"전기,line관리,생산관리",기타,"충북,광주,서울",호남대학교,전기학과,TOEIC,有,60.0,0,0,0
전문·교육·자격,교육·교사·교수·강사,"강사,재무,세무,회계,수학",기타,"서울,경기,",성균관대학교,회계학과,없음,無,60.0,0,0,0
IT·게임,웹디자인,"웹디자인,포토샵,일러스트,플래쉬,드림위버,나모",정규직,"서울,서울,서울",한림대학교,법학과,없음,有,60.0,5,0,1825
경영·기획·회계·사무,사무·총무·법무,사무직,기타,"서울,인천,경기",세명대학교,영문학과,없음,無,80.0,0,0,0
IT·게임,"응용프로그래머(Unix,Linux,Java)","Visual Basic , VB , Delphi , Oracle , SQL Server , MCDBA , UML",기타,"서울,경기,경남",동서대학교,컴퓨터공학과,없음,有,90.0,0,0,0
